,Unnamed: 0,ASIN,PID,PT,Set,difficult,Error,height cm,width cm,length cm,depth cm,thickness cm,diameter cm,height inch,width inch,length inch,depth inch,thickness inch,diameter inch,rim.size inch,rim.size cm,rim.width inch,rim.width cm,Image link
321,323,B00F0B6JHW,51dzW40cD1L,AIR_MATTRESS,test,FALSE,Error?,,152.0,203.0,,46.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51dzW40cD1L.AC.jpg
322,325,B01J1QFAQW,31BS91PG4sL,AIR_MATTRESS,train,FALSE,Error?,,99.0,191.0,,42.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/31BS91PG4sL.AC.jpg
323,336,B01MU4NYV6,51MobOCg6jL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,1.5,,,,,,https://m.media-amazon.com/images/I/51MobOCg6jL.AC.jpg
324,337,B01D19ME46,41OKvgFZjHL,AIR_MATTRESS,train,FALSE,,,,,,,,,,,,2.95,,,,,,https://m.media-amazon.com/images/I/41OKvgFZjHL.AC.jpg
325,338,B07CBTYQ47,51ILhu-KtrL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,2.95,,,,,,https://m.media-amazon.com/images/I/51ILhu-KtrL.AC.jpg
326,339,B08BC7N985,41aZW9OxqBL,AIR_MATTRESS,test,FALSE,OCR - Oversplit,,,,,,,,,,,3.15,,,,,,https://m.media-amazon.com/images/I/41aZW9OxqBL.AC.jpg
327,340,B01D19MFRC,41-6219KbeL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,3.94,,,,,,https://m.media-amazon.com/images/I/41-6219KbeL.AC.jpg
328,341,B01D19MHKC,417oU+LaWyL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,3.94,,,,,,https://m.media-amazon.com/images/I/417oU+LaWyL.AC.jpg
329,342,B08519SVJW,61EMUTx6j+L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,4.72,,,,,,https://m.media-amazon.com/images/I/61EMUTx6j+L.AC.jpg
330,343,B01D19MJ3C,41CjDlBZ4ZL,AIR_MATTRESS,train,FALSE,,,,,,7.5,,,,,,,,,,,,https://m.media-amazon.com/images/I/41CjDlBZ4ZL.AC.jpg
331,344,B07GWY368Y,51uKJXigC-L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,10.0,,,,,,https://m.media-amazon.com/images/I/51uKJXigC-L.AC.jpg
332,345,B07GX3FHD3,51w+lEygWPL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,10.0,,,,,,https://m.media-amazon.com/images/I/51w+lEygWPL.AC.jpg
333,346,B07GX3FHD3,513XDc6OaiL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,10.0,,,,,,https://m.media-amazon.com/images/I/513XDc6OaiL.AC.jpg
334,347,B00GII9YB4,514t3wymW9L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,13.0,,,,,,https://m.media-amazon.com/images/I/514t3wymW9L.AC.jpg
335,348,B00GII9ZG8,61KanGEoIRL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,13.0,,,,,,https://m.media-amazon.com/images/I/61KanGEoIRL.AC.jpg
336,349,B00G7H7850,51c6nEOMcTL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,18.0,,,,,,https://m.media-amazon.com/images/I/51c6nEOMcTL.AC.jpg
337,350,B00G7H7850,51QUcNFgKgL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,18.0,,,,,,https://m.media-amazon.com/images/I/51QUcNFgKgL.AC.jpg
338,351,B00G7H7850,512qC+yNuyL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,18.0,,,,,,https://m.media-amazon.com/images/I/512qC+yNuyL.AC.jpg
339,352,B088ZHP4SR,41yF84sr8OL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,,,18.0,,,,,,https://m.media-amazon.com/images/I/41yF84sr8OL.AC.jpg
340,353,B07FJPKC71,51QCn-S1gvL,AIR_MATTRESS,test,FALSE,Error?,,,,,25.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51QCn-S1gvL.AC.jpg
341,354,B07LH4KW3P,51IDhog6yuL,AIR_MATTRESS,train,FALSE,Error?,,,,,25.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51IDhog6yuL.AC.jpg
342,355,B07LH4KW3P,51UqPGQrp7L,AIR_MATTRESS,train,FALSE,Error?,,,,,25.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51UqPGQrp7L.AC.jpg
343,356,B07XQH6179,51QMh2zrsWL,AIR_MATTRESS,train,FALSE,Error?,,,,,25.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51QMh2zrsWL.AC.jpg
344,357,B00GF02UTS,41xB2PGyVvL,AIR_MATTRESS,test,FALSE,Error?,,,,,46.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/41xB2PGyVvL.AC.jpg
345,358,B00GF02UTS,41BY7AiD2NL,AIR_MATTRESS,train,FALSE,Error?,,,,,46.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/41BY7AiD2NL.AC.jpg
346,359,B00GF07YDU,51l6CmWoJuL,AIR_MATTRESS,train,FALSE,Error?,,,,,46.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51l6CmWoJuL.AC.jpg
347,360,B07XQTLJ3Y,51a6gMbHaeL,AIR_MATTRESS,train,FALSE,Error?,,,,,46.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/51a6gMbHaeL.AC.jpg
348,361,B08LPB19TQ,413yjt9+KsL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,51.1,,,,,,,,,https://m.media-amazon.com/images/I/413yjt9+KsL.AC.jpg
349,362,B00F0B72VE,41cUFE63c1L,AIR_MATTRESS,test,FALSE,Error?,,,,,38.0,,,,,,15.0,,,,,,https://m.media-amazon.com/images/I/41cUFE63c1L.AC.jpg
350,363,B00GF07YDU,413iL2oYIFL,AIR_MATTRESS,train,FALSE,Error?,,,,,46.0,,,,,,18.0,,,,,,https://m.media-amazon.com/images/I/413iL2oYIFL.AC.jpg
351,364,B0038ZCFDY,41bquwmJitL,AIR_MATTRESS,test,FALSE,,,28.0,43.0,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41bquwmJitL.AC.jpg
352,365,B07YP8YPDF,41PZmQrWilL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,23.0,50.0,,2.5,,,,,,https://m.media-amazon.com/images/I/41PZmQrWilL.AC.jpg
353,366,B0869D5PZP,51hGu1MuR6L,AIR_MATTRESS,train,7,Error?,,,,,,,,60.0,,,18.0,,,,,,https://m.media-amazon.com/images/I/51hGu1MuR6L.AC.jpg
354,367,B0038ZCFDY,31dDLlDTXfL,AIR_MATTRESS,test,FALSE,Error?,,28.0,43.0,,9.0,,,,,,,,,,,,https://m.media-amazon.com/images/I/31dDLlDTXfL.AC.jpg
355,368,B07JN7LP8G,51BZBdOd5lL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,,77.0,,4.0,,,,,,https://m.media-amazon.com/images/I/51BZBdOd5lL.AC.jpg
356,369,B01JN5JGGQ,41S4DD-9JpL,AIR_MATTRESS,train,FALSE,Error?,,63.5,,,,,,25.0,,,,,,,,,https://m.media-amazon.com/images/I/41S4DD-9JpL.AC.jpg
357,370,B08F3DZH1G,519fhzz20tL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,22.0,72.0,,,,,,,,https://m.media-amazon.com/images/I/519fhzz20tL.AC.jpg
358,371,B07GSKGHFR,51tpRUVU7bL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,22.0,72.0,,1.6,,,,,,https://m.media-amazon.com/images/I/51tpRUVU7bL.AC.jpg
359,372,B07GSLG492,51KR3GOtdyL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,22.0,72.0,,1.6,,,,,,https://m.media-amazon.com/images/I/51KR3GOtdyL.AC.jpg
360,373,B07GM7CF5B,410csM3xf7L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,22.0,74.0,,,,,,,,https://m.media-amazon.com/images/I/410csM3xf7L.AC.jpg
361,374,B07MY8FDXG,51pEyr6PiVL,AIR_MATTRESS,train,FALSE,,,,,,,,,22.5,74.0,,,,,,,,https://m.media-amazon.com/images/I/51pEyr6PiVL.AC.jpg
362,375,B01LZWW2FD,51BIfou9iEL,AIR_MATTRESS,train,FALSE,ERROR - Incorrect OCR Text,,,,,,,,21.6,73.0,,2.2,,,,,,https://m.media-amazon.com/images/I/51BIfou9iEL.AC.jpg
363,376,B01M9I8RAN,51ezWWPPOmL,AIR_MATTRESS,train,FALSE,,,,,,,,,21.6,73.0,,2.2,,,,,,https://m.media-amazon.com/images/I/51ezWWPPOmL.AC.jpg
364,377,B07N4KK854,51fKmMmuRjL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,22.4,75.2,,,,,,,,https://m.media-amazon.com/images/I/51fKmMmuRjL.AC.jpg
365,378,B083XHVQPS,51N++h+QyqL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,23.0,76.0,,,,,,,,https://m.media-amazon.com/images/I/51N++h+QyqL.AC.jpg
366,379,B07FFC4GV4,51dfEN8HYfL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,24.0,75.0,,,,,,,,https://m.media-amazon.com/images/I/51dfEN8HYfL.AC.jpg
367,380,B078J5D8CY,51ybjICpERL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,24.0,74.0,,1.5,,,,,,https://m.media-amazon.com/images/I/51ybjICpERL.AC.jpg
368,381,B07PG6TNPH,41Gmm4IBx5L,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,24.8,74.8,,3.9,,,,,,https://m.media-amazon.com/images/I/41Gmm4IBx5L.AC.jpg
369,382,B0894JHNF7,51Dyr5Z+oAL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,22.8,74.8,,2.0,,,,,,https://m.media-amazon.com/images/I/51Dyr5Z+oAL.AC.jpg
370,383,B0868J397S,51v2fwt1ZKL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,23.62,74.8,,1.97,,,,,,https://m.media-amazon.com/images/I/51v2fwt1ZKL.AC.jpg
371,384,B08BCTY8GG,51vxNH+pX6L,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,26.0,75.0,,,,,,,,https://m.media-amazon.com/images/I/51vxNH+pX6L.AC.jpg
372,385,B07Q5K3FJJ,51rJ6kfUkQL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,24.0,75.0,,2.0,,,,,,https://m.media-amazon.com/images/I/51rJ6kfUkQL.AC.jpg
373,386,B089G5MSH7,41swN1YGxWL,AIR_MATTRESS,train,6,Error?,,,,,,,,24.0,75.0,,2.0,,,,,,https://m.media-amazon.com/images/I/41swN1YGxWL.AC.jpg
374,387,B01M5GJ43L,413bbxTUlwL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,23.0,76.0,,4.0,,,,,,https://m.media-amazon.com/images/I/413bbxTUlwL.AC.jpg
375,388,B08FCKLXPC,416CArnoYAL,AIR_MATTRESS,train,FALSE,,,,,,,,,27.0,75.0,,1.2,,,,,,https://m.media-amazon.com/images/I/416CArnoYAL.AC.jpg
376,389,B07TX8215W,41gNr-dRi4L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,26.0,77.0,,2.7,,,,,,https://m.media-amazon.com/images/I/41gNr-dRi4L.AC.jpg
377,390,B07DCHWSDZ,51EZhxvSt8L,AIR_MATTRESS,train,6,Error?,,,,,,,,22.0,84.0,,,,,,,,https://m.media-amazon.com/images/I/51EZhxvSt8L.AC.jpg
378,391,B014HBI4I2,41Tg6tZtibL,AIR_MATTRESS,train,FALSE,,,,,,,,,26.0,78.0,,4.0,,,,,,https://m.media-amazon.com/images/I/41Tg6tZtibL.AC.jpg
379,392,B0038ZCFDY,51cT4EUqHML,AIR_MATTRESS,test,FALSE,ERROR - Incorrect OCR Text,,28.0,43.0,,9.0,,,11.0,17.0,,3.5,,,,,,https://m.media-amazon.com/images/I/51cT4EUqHML.AC.jpg
380,393,B07QMTN59C,312Vwm5d-wL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,29.0,75.0,,9.0,,,,,,https://m.media-amazon.com/images/I/312Vwm5d-wL.AC.jpg
381,394,B088PGSSCB,514fHsf-fZL,AIR_MATTRESS,test,FALSE,,,,,,,,,23.6,94.5,,2.7,,,,,,https://m.media-amazon.com/images/I/514fHsf-fZL.AC.jpg
382,395,B07XH2R31V,41WGo9Jro0L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,39.0,74.0,,8.5,,,,,,https://m.media-amazon.com/images/I/41WGo9Jro0L.AC.jpg
383,396,B08CNDB8ZG,31qM1GQFxJL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,38.0,75.0,,9.0,,,,,,https://m.media-amazon.com/images/I/31qM1GQFxJL.AC.jpg
384,397,B07QPVHH57,317T9ZtXEnL,AIR_MATTRESS,train,FALSE,,,,,,,,,39.0,75.0,,9.0,,,,,,https://m.media-amazon.com/images/I/317T9ZtXEnL.AC.jpg
385,398,B07QL87R2L,41Ep8N3IHkL,AIR_MATTRESS,train,FALSE,,,,,,,,,51.2,74.8,,1.4,,,,,,https://m.media-amazon.com/images/I/41Ep8N3IHkL.AC.jpg
386,399,B07QL88H2W,41y4VqEES1L,AIR_MATTRESS,train,FALSE,,,,,,,,,51.2,74.8,,1.4,,,,,,https://m.media-amazon.com/images/I/41y4VqEES1L.AC.jpg
387,400,B07QM6TC7D,41Xwr4EesmL,AIR_MATTRESS,train,FALSE,,,,,,,,,51.2,74.8,,1.4,,,,,,https://m.media-amazon.com/images/I/41Xwr4EesmL.AC.jpg
388,401,B08FYDZH2K,51gNLD0vtwL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,51.2,74.8,,1.4,,,,,,https://m.media-amazon.com/images/I/51gNLD0vtwL.AC.jpg
389,402,B07PLHMY5B,418ZDRKRT3L,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,50.0,74.8,,3.9,,,,,,https://m.media-amazon.com/images/I/418ZDRKRT3L.AC.jpg
390,403,B015WF7BA4,41IeTtp9R-L,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,51.2,78.0,,,,,,,,https://m.media-amazon.com/images/I/41IeTtp9R-L.AC.jpg
391,404,B0789JTJ3P,41ZxNs0-udL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,51.2,78.0,,,,,,,,https://m.media-amazon.com/images/I/41ZxNs0-udL.AC.jpg
392,405,B07DVYR8N8,415ot8Q1crL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,47.5,78.7,,3.75,,,,,,https://m.media-amazon.com/images/I/415ot8Q1crL.AC.jpg
393,406,B07R8ZG8WT,41Gut4cJVRL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,47.5,78.7,,3.75,,,,,,https://m.media-amazon.com/images/I/41Gut4cJVRL.AC.jpg
394,407,B07W6ZMG3K,41RECumZgEL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,40.0,75.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41RECumZgEL.AC.jpg
395,408,B07W6ZN41X,41aXAN9JwvL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,40.0,75.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41aXAN9JwvL.AC.jpg
396,409,B0794T99S1,41HAJz3IiAL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,54.0,74.0,,8.5,,,,,,https://m.media-amazon.com/images/I/41HAJz3IiAL.AC.jpg
397,410,B087R8VN1P,41-s88xD1WL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,40.0,80.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41-s88xD1WL.AC.jpg
398,411,B089D2W4V9,31a0SA3DYXL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,39.0,80.0,,19.0,,,,,,https://m.media-amazon.com/images/I/31a0SA3DYXL.AC.jpg
399,412,B01D19MO4G,516pMpcZfRL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,55.0,79.1,,5.9,,,,,,https://m.media-amazon.com/images/I/516pMpcZfRL.AC.jpg
400,413,B0768LQLGH,515XqVz77tL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,60.0,80.0,,10.0,,,,,,https://m.media-amazon.com/images/I/515XqVz77tL.AC.jpg
401,414,B01CQLGNEW,51+J0IoLwnL,AIR_MATTRESS,train,FALSE,Error?,,99.0,191.0,,38.0,,,39.0,75.0,,15.0,,,,,,https://m.media-amazon.com/images/I/51+J0IoLwnL.AC.jpg
402,415,B084MMFF28,51CIT1VuB9L,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,59.0,78.0,,18.0,,,,,,https://m.media-amazon.com/images/I/51CIT1VuB9L.AC.jpg
403,416,B07XC8TJ12,31DLr505fdL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,60.0,80.0,,15.0,,,,,,https://m.media-amazon.com/images/I/31DLr505fdL.AC.jpg
404,417,B00UFBEYRO,51B-0-1J6ML,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,60.0,78.0,,18.0,,,,,,https://m.media-amazon.com/images/I/51B-0-1J6ML.AC.jpg
405,418,B07W6ZN2DZ,41518SRBDLL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,60.0,78.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41518SRBDLL.AC.jpg
406,419,B07WC9JYB9,41I1zp+ERQL,AIR_MATTRESS,train,FALSE,Error?,,,,,,,,60.0,78.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41I1zp+ERQL.AC.jpg
407,420,B08DQS75KN,51keWLhgvoL,AIR_MATTRESS,test,FALSE,Error?,,,,,,,,60.0,80.0,,18.0,,,,,,https://m.media-amazon.com/images/I/51keWLhgvoL.AC.jpg
408,421,B088BKS2G7,41cD9lmrNTL,AIR_MATTRESS,train,6,Error?,,,,,,,,60.0,80.0,,18.0,,,,,,https://m.media-amazon.com/images/I/41cD9lmrNTL.AC.jpg
